City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
1,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
3,Vila Velha,BR,84.15,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
4,Krasnogorsk,RU,87.8,light intensity shower rain,55.8225,37.3181,"Hotel ""Academy"""
5,Nikolskoye,RU,82.29,clear sky,59.7035,30.7861,Tourist House - Sablino
9,Vimperk,CZ,76.28,few clouds,49.0586,13.7829,Hotel Zlatá Hvězda
20,Arraial Do Cabo,BR,75.06,few clouds,-22.9661,-42.0278,Pousada Porto Praia
23,Sri Aman,MY,77.07,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
24,Kruisfontein,ZA,76.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
27,Darab,IR,77.38,overcast clouds,28.7519,54.5444,Naghshe shapoor Hotel
29,Ibadan,NG,84.97,overcast clouds,7.3878,3.8964,Majerita Hotel And Suites
34,Meulaboh,ID,78.89,clear sky,4.1363,96.1285,Kost Pria
38,Shimoda,JP,76.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
39,Nova Vicosa,BR,79.95,clear sky,-17.8919,-39.3719,Pousada Porto do Sol
44,Torbay,CA,75.88,scattered clouds,47.6666,-52.7314,Gallows Cove
45,North Platte,US,76.37,scattered clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
48,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
49,Columbus,US,76.33,scattered clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
52,Namatanai,PG,78.51,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
54,Katsuura,JP,82.11,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
59,Namangan,UZ,82.85,few clouds,40.9983,71.6726,Oydin Plaza
60,Faya,SA,75.72,overcast clouds,18.3851,42.4509,مقبرة ال مجمل
62,Eau Claire,US,75.45,clear sky,44.8114,-91.4985,Hampton Inn Eau Claire
63,Bethel,US,77.52,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
65,Coroata,BR,88.72,broken clouds,-4.13,-44.1242,Hotel Carvalho
66,Nhulunbuy,AU,75.81,clear sky,-12.2333,136.7667,East Arnhem Real Estate
67,Severodvinsk,RU,80.71,broken clouds,64.5635,39.8302,Park Hotel
70,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
72,Nishihara,JP,83.48,few clouds,26.1842,127.7558,Minshuku Agaihama
73,Ponta Do Sol,PT,84.7,clear sky,32.6667,-17.1,Hotel do Campo
75,Tual,ID,80.08,light rain,-5.6667,132.75,Grand Vilia Hotel
77,Atuona,PF,77.32,few clouds,-9.8,-139.0333,Villa Enata
82,Port-Cartier,CA,75.42,scattered clouds,50.0334,-66.8654,Le Q'Artier
83,Elizabeth City,US,85.01,scattered clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
87,Victoria,HK,84.38,light rain,22.2855,114.1577,Mini Hotel Central
95,Tabou,CI,80.1,overcast clouds,4.423,-7.3528,hotêl doufoulougou
96,Luganville,VU,76.87,few clouds,-15.5333,167.1667,The Espiritu Hotel
98,Naze,JP,79.21,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
102,Labuhan,ID,78.98,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
103,Xinyu,CN,76.06,light rain,27.8043,114.9334,Xinyu Beihu Hotel
104,Roshchino,RU,83.44,clear sky,60.2519,29.6085,Hotel Galliard
107,Kavieng,PG,81.84,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
108,Richmond,US,81.99,clear sky,37.5538,-77.4603,The Jefferson Hotel
110,Bengkulu,ID,77.81,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
111,Port Elizabeth,ZA,78.1,clear sky,-33.918,25.5701,39 On Nile Guest House
114,Bluefields,NI,84.27,broken clouds,12.0137,-83.7635,Flamingo Hotel and Casino
116,Lasa,IT,82.31,overcast clouds,46.6166,10.7002,Pension Feldgärtenhof
118,Isangel,VU,75.54,broken clouds,-19.55,169.2667,Tanna Lodge
121,Tarakan,ID,81.9,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
124,Hithadhoo,MV,82.56,scattered clouds,-0.6,73.0833,Scoop Guest House
125,Marsh Harbour,BS,82.78,few clouds,26.5412,-77.0636,Abaco Beach Resort
127,Dhidhdhoo,MV,83.1,overcast clouds,6.8833,73.1,Dhidhoo beach
131,Poplar Bluff,US,76.73,overcast clouds,36.757,-90.3929,Holiday Inn Poplar Bluff
133,Gambela,ET,80.58,light rain,8.25,34.5833,Solomon Debebe Hotel
137,Monreal,PH,82.11,overcast clouds,12.644,123.6648,3f Tourist Inn
144,Vredendal,ZA,81.39,clear sky,-31.6683,18.5012,Tharrakamma Guest House
145,Hambantota,LK,81.1,broken clouds,6.1241,81.1185,Bungalow 63
146,Alice,US,85.57,clear sky,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
147,Saint George,US,87.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
148,Pingshan,CN,79.03,overcast clouds,22.9938,114.7131,Island Skylight Resort
149,Shingu,JP,78.91,broken clouds,33.7333,135.9833,Shingu UI Hotel
155,Porto Novo,BJ,84.02,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
157,Mariana,BR,83.07,clear sky,-20.3778,-43.4161,MINAS POUSADA E HOTEL LTDA
162,Linhai,CN,80.08,overcast clouds,28.85,121.1167,Linhai S&N International Hotel
166,Puerto Madero,MX,80.8,clear sky,14.7208,-92.4215,Hotel La Central
167,Chesapeake,US,84.24,scattered clouds,36.819,-76.2749,Renaissance Portsmouth-Norfolk Waterfront Hotel
169,Kahului,US,76.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
171,Butaritari,KI,82.54,moderate rain,3.0707,172.7902,Isles Sunset Lodge
172,Kilindoni,TZ,77.67,scattered clouds,-7.9139,39.6668,Bustani B&B
178,Anori,BR,87.53,clear sky,-3.7728,-61.6442,Novo Hotel 05 Irmaos
180,Quelimane,MZ,75.15,light rain,-17.8786,36.8883,Hotel Flamingo
182,Pampa,US,77.95,clear sky,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
184,Nantucket,US,78.26,overcast clouds,41.2835,-70.0995,Jared Coffin House
186,Markova,UA,85.59,scattered clouds,48.6758,24.4138,Vas.VOM
189,Barcelos,PT,75.85,clear sky,41.5388,-8.6151,Hotel Do Terço
193,Lubango,AO,75.69,clear sky,-14.9172,13.4925,Hotel Serra da Chela
194,Howard Springs,AU,75.11,broken clouds,-12.497,131.047,buffalo beach hostel
196,Ilsede,DE,82.17,few clouds,52.2667,10.2,Hotel Garni Graf Von Oberg
197,Hastings,GB,88.54,clear sky,50.8552,0.5729,Zanzibar Hotel
201,Campobasso,IT,78.82,overcast clouds,41.6333,14.5833,Le Casette al Colle
203,Ipaba,BR,78.94,clear sky,-19.4136,-42.4194,Toca Do Bicho
204,Itarema,BR,87.73,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
205,Pitimbu,BR,81.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
207,Vasudevanallur,IN,79.2,overcast clouds,9.2333,77.4167,PONISHA HARENI HOMES
208,Sao Jose Da Coroa Grande,BR,80.8,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
217,Topolobampo,MX,82.11,overcast clouds,25.6,-109.05,Hotel Marina Topolobampo
220,Kourou,GF,87.85,broken clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
222,Komsomolskiy,UZ,83.12,overcast clouds,40.4272,71.7189,Ikathouse
224,Llanes,ES,80.28,clear sky,43.4198,-4.7549,Hotel La Paz
225,Lhokseumawe,ID,80.85,broken clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
229,Halifax,CA,79.52,overcast clouds,44.6453,-63.5724,Hotel Halifax
233,Hami,CN,80.83,overcast clouds,42.8,93.45,Laoyutang Resort
234,Lebanon,US,78.13,overcast clouds,36.2081,-86.2911,Hampton Inn & Suites Lebanon
236,Antsohihy,MG,82.13,broken clouds,-14.8796,47.9875,Hotel de Ville
238,Sibolga,ID,76.75,scattered clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
243,Kaspiysk,RU,84.24,few clouds,42.8816,47.6392,Alima Hostel
246,Hirara,JP,83.68,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
249,Morehead,US,78.15,broken clouds,37.2711,-87.1764,CCI Express Inn
250,Alexandria,EG,83.86,clear sky,31.2156,29.9553,Royal Crown Hotel
251,Makakilo City,US,77.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
255,San Cristobal,VE,80.78,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
256,Samarai,PG,79.43,overcast clouds,-10.6167,150.6667,Nuli Sapi
257,Saldanha,ZA,75.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
261,Kingman,US,85.19,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
262,Ferrol,ES,86.25,few clouds,43.4832,-8.2369,Carrís Almirante
263,Pabna,BD,85.15,very heavy rain,24.0,89.25,Hotel Dream Palace International
264,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
272,Tianmen,CN,78.3,moderate rain,30.6516,113.1603,Tianmen Luyu Hotel
273,Itzehoe,DE,77.4,few clouds,53.921,9.5153,Hotel Mercator Itzehoe-Klosterforst
276,Puerto Colombia,CO,84.29,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
278,Palembang,ID,80.69,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
279,Korla,CN,82.02,clear sky,41.7597,86.1469,Gulisitan Hotel
283,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
284,Lake Station,US,76.98,scattered clouds,41.575,-87.2389,Quality Inn & Suites
285,Faanui,PF,79.18,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
286,Anatoli,GR,78.55,few clouds,39.6389,20.8653,Nantin Hotel Ioannina
290,Steinbach,DE,85.33,clear sky,50.1667,8.5667,Mercure Hotel Frankfurt Eschborn Helfmann Park
292,Dingle,PH,77.77,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
297,Acapulco,MX,80.42,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
298,Labrea,BR,89.76,clear sky,-7.2586,-64.7981,Hotel Novo Horizonte
304,Bonthe,SL,81.21,light rain,7.5264,-12.505,Bonthe Holiday Village
305,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
307,Aksu,CN,88.23,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
312,Alvaraes,BR,85.87,clear sky,-3.2208,-64.8042,Av. Castelo Branco. Ginásio Ermelino vieira.
313,Zomin,UZ,88.92,few clouds,39.9606,68.3958,Orol hotel
316,Port Said,EG,82.62,clear sky,31.2565,32.2841,Aracan Hotel
318,Laguna,US,80.24,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
319,Kieta,PG,79.45,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
322,Oyama,JP,84.58,clear sky,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
323,Golden,US,80.78,clear sky,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
324,Bambey,SN,88.57,broken clouds,14.6955,-16.4493,chez Laurent
326,Sola,VU,79.81,broken clouds,-13.8833,167.55,Leumerus Bungalows
327,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
332,Surt,LY,82.13,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
335,Amuntai,ID,77.54,overcast clouds,-2.4177,115.2494,Hotel Balqis
337,Prainha,BR,85.19,scattered clouds,-1.8,-53.48,Casa Rocha
340,Vieux Fort,LC,85.23,broken clouds,13.7167,-60.95,Cedar Palm Villa
341,Nouakchott,MR,84.13,clear sky,18.0858,-15.9785,HOTEL IMAN فندق إيمان
344,Chai Badan,TH,81.84,overcast clouds,15.2,101.1333,Narai Grand Hotel
346,Ca Mau,VN,76.3,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
351,Kousseri,CM,89.56,few clouds,12.0769,15.0306,Le Pilotis
352,Garowe,SO,86.27,overcast clouds,8.4054,48.4845,Curubo Hotel
353,Sartana,UA,87.85,clear sky,47.1744,37.6927,Сартана
354,Saint-Junien,FR,83.34,clear sky,45.8833,0.9,"The Originals City, Hôtel Le Boeuf Rouge, Saint-Junien (Inter-Hotel)"
355,Lanxi,CN,77.68,overcast clouds,29.2195,119.477,Shangri-La Hotel
356,Kigoma,TZ,77.61,overcast clouds,-4.8769,29.6267,MJI Mwema Lodge
357,Caravelas,BR,81.18,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
358,Hasaki,JP,77.29,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
359,Grand-Lahou,CI,80.33,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
360,Sarti,GR,82.53,clear sky,40.1,23.9833,Vamvini Hotel
361,Huilong,CN,80.98,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
368,Hobyo,SO,79.18,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
369,Saint Marys,US,88.05,clear sky,30.7305,-81.5465,Spencer House Inn
370,Port Moresby,PG,75.9,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
375,Beberibe,BR,87.17,few clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
376,Zhangye,CN,89.19,few clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
377,Rancho Palos Verdes,US,76.21,broken clouds,33.7445,-118.387,Terranea Resort
381,Khani,GE,81.97,few clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
382,Saint Anthony,US,78.31,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
384,Dakar,SN,88.68,broken clouds,14.6937,-17.4441,Redface Studios Meublés
