,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
0,Tiksi,RU,71.6872,128.8694,41.5,74,100,5.77,overcast clouds
1,Georgetown,MY,5.4112,100.3354,84.13,70,20,4.61,few clouds
2,Saskylakh,RU,71.9167,114.0833,63.39,52,100,9.01,overcast clouds
3,Vila Velha,BR,-20.3297,-40.2925,84.15,61,0,10.36,clear sky
4,Krasnogorsk,RU,55.8225,37.3181,87.8,51,40,11.18,light intensity shower rain
5,Nikolskoye,RU,59.7035,30.7861,82.29,27,7,9.17,clear sky
6,Bluff,NZ,-46.6,168.3333,45.45,87,93,10.6,overcast clouds
7,Vaini,TO,-21.2,-175.2,73.56,94,20,5.75,few clouds
8,Cidreira,BR,-30.1811,-50.2056,51.57,55,1,23.49,clear sky
9,Vimperk,CZ,49.0586,13.7829,76.28,58,17,11.56,few clouds
10,Rocha,UY,-34.4833,-54.3333,45.77,90,78,28.83,broken clouds
11,Lagos,NG,6.5833,3.75,84.49,64,100,9.31,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,40.66,70,75,17.27,light rain
13,New Norfolk,AU,-42.7826,147.0587,50.58,81,100,1.99,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,71.06,65,100,27.4,overcast clouds
15,Albany,US,42.6001,-73.9662,72.63,96,100,4.72,overcast clouds
16,Hermanus,ZA,-34.4187,19.2345,67.8,55,5,0.76,clear sky
17,Bure,ET,10.7,37.0667,61.92,90,96,2.01,light rain
18,Egvekinot,RU,66.3167,-179.1667,41.92,97,100,4.65,overcast clouds
19,Verkhnyaya Inta,RU,65.9811,60.3094,66.25,53,82,5.97,broken clouds
20,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,78,20,6.91,few clouds
21,Tuktoyaktuk,CA,69.4541,-133.0374,44.46,90,97,17.49,overcast clouds
22,Berlevag,NO,70.8578,29.0864,50.67,83,93,6.91,overcast clouds
23,Sri Aman,MY,1.2376,111.4621,77.07,85,47,1.61,scattered clouds
24,Kruisfontein,ZA,-34.0033,24.7314,76.89,19,0,7.83,clear sky
25,Flinders,AU,-34.5833,150.8552,51.21,73,17,1.01,few clouds
26,Kiama,AU,-34.6833,150.8667,49.44,72,13,5.01,few clouds
27,Darab,IR,28.7519,54.5444,77.38,81,100,6.35,overcast clouds
28,Pitkyaranta,RU,61.5734,31.4792,71.08,55,0,13.06,clear sky
29,Ibadan,NG,7.3878,3.8964,84.97,58,87,5.12,overcast clouds
30,Punta Arenas,CL,-53.15,-70.9167,39.31,81,90,16.11,light rain
31,Yellowknife,CA,62.456,-114.3525,51.57,76,69,3.0,broken clouds
32,Yumen,CN,40.2833,97.2,91.02,16,7,7.02,clear sky
33,Kaitangata,NZ,-46.2817,169.8464,45.23,91,99,6.96,overcast clouds
34,Meulaboh,ID,4.1363,96.1285,78.89,76,9,1.68,clear sky
35,Mataura,NZ,-46.1927,168.8643,42.46,97,84,4.14,broken clouds
36,Puerto Ayora,EC,-0.7393,-90.3518,70.56,97,98,10.0,light rain
37,Sangar,RU,63.9242,127.4739,57.34,66,100,1.36,overcast clouds
38,Shimoda,JP,34.6667,138.95,76.1,91,3,6.13,clear sky
39,Nova Vicosa,BR,-17.8919,-39.3719,79.95,52,0,6.8,clear sky
40,Cape Town,ZA,-33.9258,18.4232,74.1,39,1,7.36,clear sky
41,Thohoyandou,ZA,-22.9456,30.485,65.5,28,6,9.53,clear sky
42,Hilo,US,19.7297,-155.09,73.26,91,75,3.44,light rain
43,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,63,0,9.44,clear sky
44,Torbay,CA,47.6666,-52.7314,75.88,68,47,10.69,scattered clouds
45,North Platte,US,41.1239,-100.7654,76.37,79,40,7.0,scattered clouds
46,Thompson,CA,55.7435,-97.8558,52.93,59,100,7.52,overcast clouds
47,Chernyshevskiy,RU,63.0128,112.4714,63.0,66,99,9.98,overcast clouds
48,Bathsheba,BB,13.2167,-59.5167,84.81,74,75,18.41,broken clouds
49,Columbus,US,39.9612,-82.9988,76.33,69,40,3.44,scattered clouds
50,Adrar,MR,20.5022,-10.0711,112.98,7,8,13.82,clear sky
51,Quatre Cocos,MU,-20.2078,57.7625,72.09,72,53,17.22,broken clouds
52,Namatanai,PG,-3.6667,152.4333,78.51,84,100,4.68,overcast clouds
53,Irshava,UA,48.3167,23.0385,93.65,41,16,2.19,few clouds
54,Katsuura,JP,35.1333,140.3,82.11,93,68,9.1,broken clouds
55,Henties Bay,NA,-22.116,14.2845,81.77,31,3,2.06,clear sky
56,Tasiilaq,GL,65.6145,-37.6368,46.56,73,100,4.79,overcast clouds
57,Ostrovnoy,RU,68.0531,39.5131,68.09,62,100,14.05,overcast clouds
58,Thinadhoo,MV,0.5333,72.9333,82.9,69,17,2.06,few clouds
59,Namangan,UZ,40.9983,71.6726,82.85,42,20,2.3,few clouds
60,Faya,SA,18.3851,42.4509,75.72,32,88,12.55,overcast clouds
61,Takaka,NZ,-40.85,172.8,50.97,87,98,5.06,overcast clouds
62,Eau Claire,US,44.8114,-91.4985,75.45,79,1,3.44,clear sky
63,Bethel,US,41.3712,-73.414,77.52,91,95,5.3,overcast clouds
64,Havre-Saint-Pierre,CA,50.2334,-63.5986,71.96,60,1,8.05,clear sky
65,Coroata,BR,-4.13,-44.1242,88.72,53,83,1.5,broken clouds
66,Nhulunbuy,AU,-12.2333,136.7667,75.81,78,5,9.22,clear sky
67,Severodvinsk,RU,64.5635,39.8302,80.71,41,71,12.57,broken clouds
68,Banovici,BA,44.4053,18.5242,71.62,88,75,4.61,broken clouds
69,Jamestown,US,42.097,-79.2353,71.19,82,1,4.61,clear sky
70,Kapaa,US,22.0752,-159.319,79.12,81,75,16.11,light rain
71,Narsaq,GL,60.9167,-46.05,53.82,99,100,8.52,light rain
72,Nishihara,JP,26.1842,127.7558,83.48,79,20,12.66,few clouds
73,Ponta Do Sol,PT,32.6667,-17.1,84.7,70,1,2.55,clear sky
74,Jumla,NP,29.2747,82.1838,64.67,95,100,0.89,overcast clouds
75,Tual,ID,-5.6667,132.75,80.08,82,99,18.72,light rain
76,Atar,MR,20.5169,-13.0499,110.28,13,11,11.03,few clouds
77,Atuona,PF,-9.8,-139.0333,77.32,75,23,28.74,few clouds
78,Khatanga,RU,71.9667,102.5,63.46,69,100,7.43,overcast clouds
79,Souillac,MU,-20.5167,57.5167,72.36,88,40,16.11,scattered clouds
80,Bredasdorp,ZA,-34.5322,20.0403,74.52,38,3,5.75,clear sky
81,Khorixas,NA,-20.3667,14.9667,80.37,21,32,13.78,scattered clouds
82,Port-Cartier,CA,50.0334,-66.8654,75.42,52,47,2.1,scattered clouds
83,Elizabeth City,US,36.2946,-76.2511,85.01,81,40,5.01,scattered clouds
84,Pemberton,CA,50.3164,-122.8027,56.89,87,85,1.21,overcast clouds
85,Zalesovo,RU,53.9939,84.7431,61.02,90,100,7.34,overcast clouds
86,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,78,0,17.27,clear sky
87,Victoria,HK,22.2855,114.1577,84.38,87,100,1.99,light rain
88,Carnarvon,AU,-24.8667,113.6333,62.67,49,90,5.75,overcast clouds
89,Busselton,AU,-33.65,115.3333,49.08,75,1,9.48,clear sky
90,Bambous Virieux,MU,-20.3428,57.7575,72.21,88,40,16.11,scattered clouds
91,Ancud,CL,-41.8697,-73.8203,46.22,81,100,4.41,overcast clouds
92,Nabire,ID,-3.3667,135.4833,73.92,98,100,0.85,overcast clouds
93,Pevek,RU,69.7008,170.3133,36.23,84,100,3.04,overcast clouds
94,Port Alfred,ZA,-33.5906,26.891,69.42,48,46,16.37,scattered clouds
95,Tabou,CI,4.423,-7.3528,80.1,66,85,8.43,overcast clouds
96,Luganville,VU,-15.5333,167.1667,76.87,79,19,3.91,few clouds
97,Guerrero Negro,MX,27.9769,-114.0611,68.65,86,0,8.88,clear sky
98,Naze,JP,28.3667,129.4833,79.21,82,90,14.07,overcast clouds
99,Belyy Yar,RU,53.6039,91.3903,73.29,53,0,6.71,clear sky
100,East London,ZA,-33.0153,27.9116,68.94,52,0,12.66,clear sky
101,Mar Del Plata,AR,-38.0023,-57.5575,49.12,82,75,13.0,broken clouds
102,Labuhan,ID,-6.8844,112.2051,78.98,77,9,6.8,clear sky
103,Xinyu,CN,27.8043,114.9334,76.06,93,53,2.75,light rain
104,Roshchino,RU,60.2519,29.6085,83.44,47,0,9.93,clear sky
105,Pacific Grove,US,36.6177,-121.9166,60.46,95,90,3.0,mist
106,Arlit,NE,18.7369,7.3853,107.82,13,69,9.22,broken clouds
107,Kavieng,PG,-2.5744,150.7967,81.84,78,86,11.86,overcast clouds
108,Richmond,US,37.5538,-77.4603,81.99,82,1,7.0,clear sky
109,Ketchikan,US,55.3422,-131.6461,54.07,94,20,0.0,light rain
110,Bengkulu,ID,-3.8004,102.2655,77.81,87,12,3.87,few clouds
111,Port Elizabeth,ZA,-33.918,25.5701,78.1,59,0,10.36,clear sky
112,Saint-Philippe,RE,-21.3585,55.7679,70.21,86,61,15.26,light rain
113,Kundiawa,PG,-6.0167,144.9667,61.7,96,100,2.46,overcast clouds
114,Bluefields,NI,12.0137,-83.7635,84.27,84,75,4.61,broken clouds
115,Boras,SE,57.721,12.9401,69.84,41,98,10.58,overcast clouds
116,Lasa,IT,46.6166,10.7002,82.31,73,91,6.96,overcast clouds
117,Chuy,UY,-33.6971,-53.4616,43.2,89,100,24.9,light rain
118,Isangel,VU,-19.55,169.2667,75.54,86,74,3.0,broken clouds
119,Ilulissat,GL,69.2167,-51.1,53.62,54,75,5.75,broken clouds
120,La Maddalena,IT,41.2142,9.4083,93.25,74,11,19.8,few clouds
121,Tarakan,ID,3.3,117.6333,81.9,89,40,3.44,scattered clouds
122,Sur,OM,22.5667,59.5289,91.99,54,0,8.08,clear sky
123,Lebu,CL,-37.6167,-73.65,49.24,63,0,14.05,clear sky
124,Hithadhoo,MV,-0.6,73.0833,82.56,74,27,7.29,scattered clouds
125,Marsh Harbour,BS,26.5412,-77.0636,82.78,70,11,12.15,few clouds
126,Klaksvik,FO,62.2266,-6.589,52.72,85,10,4.52,clear sky
127,Dhidhdhoo,MV,6.8833,73.1,83.1,73,100,15.84,overcast clouds
128,Upernavik,GL,72.7868,-56.1549,39.79,78,40,14.18,scattered clouds
129,Longyearbyen,SJ,78.2186,15.6401,40.84,100,90,6.91,light intensity drizzle rain
130,Geraldton,AU,-28.7667,114.6,57.61,88,75,5.75,broken clouds
131,Poplar Bluff,US,36.757,-90.3929,76.73,92,90,0.0,overcast clouds
132,Kodiak,US,57.79,-152.4072,57.24,80,93,3.56,overcast clouds
133,Gambela,ET,8.25,34.5833,80.58,75,87,0.58,light rain
134,Tuatapere,NZ,-46.1333,167.6833,42.66,95,39,3.87,scattered clouds
135,Sol-Iletsk,RU,51.1631,54.9918,90.25,30,75,5.3,broken clouds
136,Alyangula,AU,-13.8483,136.4192,69.75,75,99,8.34,overcast clouds
137,Monreal,PH,12.644,123.6648,82.11,82,100,10.92,overcast clouds
138,Ocos,GT,14.5094,-92.1933,91.69,74,12,4.05,few clouds
139,Srednekolymsk,RU,67.45,153.6833,48.52,51,100,8.12,overcast clouds
140,Khandyga,RU,62.6667,135.6,57.02,46,0,3.27,clear sky
141,Saint-Augustin,CA,51.226,-58.6502,72.41,42,0,12.26,clear sky
142,Kiunga,PG,-6.1219,141.2906,73.45,99,99,2.39,moderate rain
143,Lompoc,US,34.6391,-120.4579,58.51,96,90,0.0,mist
144,Vredendal,ZA,-31.6683,18.5012,81.39,18,0,10.25,clear sky
145,Hambantota,LK,6.1241,81.1185,81.1,74,66,21.56,broken clouds
146,Alice,US,27.7523,-98.0697,85.57,91,1,6.91,clear sky
147,Saint George,US,37.1041,-113.5841,87.35,47,1,4.61,clear sky
148,Pingshan,CN,22.9938,114.7131,79.03,81,100,4.38,overcast clouds
149,Shingu,JP,33.7333,135.9833,78.91,94,65,3.11,broken clouds
150,Mount Gambier,AU,-37.8333,140.7667,46.22,98,100,5.06,light rain
151,Qaanaaq,GL,77.484,-69.3632,35.8,87,100,6.44,overcast clouds
152,Tiznit,MA,29.5833,-9.5,104.76,9,4,16.26,clear sky
153,Karratha,AU,-20.7377,116.8463,70.03,44,0,4.47,light rain
154,Kentau,KZ,43.5206,68.5094,93.51,14,10,7.58,clear sky
155,Porto Novo,BJ,6.4965,2.6036,84.02,61,68,11.72,broken clouds
156,Mareeba,AU,-17.0,145.4333,65.12,72,98,2.48,overcast clouds
157,Mariana,BR,-20.3778,-43.4161,83.07,29,6,3.2,clear sky
158,Chokurdakh,RU,70.6333,147.9167,40.91,75,76,9.08,broken clouds
159,Kurchum,KZ,48.5722,83.6542,77.81,30,100,4.23,overcast clouds
160,Podor,MR,16.6527,-14.9587,100.29,28,19,5.59,few clouds
161,Iqaluit,CA,63.7506,-68.5145,46.13,61,75,8.01,broken clouds
162,Linhai,CN,28.85,121.1167,80.08,96,100,2.55,overcast clouds
163,Chara,RU,56.9064,118.2631,67.75,57,99,3.62,overcast clouds
164,Aldan,RU,58.6031,125.3894,65.84,61,100,5.08,overcast clouds
165,Killybegs,IE,54.6333,-8.45,66.45,75,25,7.36,scattered clouds
166,Puerto Madero,MX,14.7208,-92.4215,80.8,83,1,0.0,clear sky
167,Chesapeake,US,36.819,-76.2749,84.24,74,40,1.99,scattered clouds
168,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,49,0,3.44,clear sky
169,Kahului,US,20.8947,-156.47,76.84,86,1,12.66,clear sky
170,San Jose,US,37.3394,-121.895,63.72,82,20,3.44,few clouds
171,Butaritari,KI,3.0707,172.7902,82.54,78,96,12.35,moderate rain
172,Kilindoni,TZ,-7.9139,39.6668,77.67,68,27,17.09,scattered clouds
173,Kidal,ML,18.4411,1.4078,106.79,16,62,8.86,broken clouds
174,Castro,BR,-24.7911,-50.0119,52.16,58,8,11.32,clear sky
175,Hobart,AU,-42.8794,147.3294,50.92,81,100,1.99,overcast clouds
176,Sorland,NO,67.667,12.6934,51.66,82,75,11.5,broken clouds
177,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,78,75,7.02,broken clouds
178,Anori,BR,-3.7728,-61.6442,87.53,56,8,4.34,clear sky
179,Leningradskiy,RU,69.3833,178.4167,36.57,94,100,10.4,moderate rain
180,Quelimane,MZ,-17.8786,36.8883,75.15,64,75,16.11,light rain
181,Fort Nelson,CA,58.8053,-122.7002,47.79,93,90,3.44,mist
182,Pampa,US,35.5362,-100.9599,77.95,83,1,4.61,clear sky
183,Ekibastuz,KZ,51.6667,75.3667,72.88,45,16,10.11,few clouds
184,Nantucket,US,41.2835,-70.0995,78.26,97,90,10.36,overcast clouds
185,Rio Grande,BR,-32.035,-52.0986,48.94,65,36,28.27,scattered clouds
186,Markova,UA,48.6758,24.4138,85.59,56,28,5.82,scattered clouds
187,Talcahuano,CL,-36.7167,-73.1167,47.88,53,0,11.5,clear sky
188,Paita,PE,-5.0892,-81.1144,70.36,82,89,12.17,overcast clouds
189,Barcelos,PT,41.5388,-8.6151,75.85,55,7,9.73,clear sky
190,Chapais,CA,49.7834,-74.8492,71.38,48,0,5.53,clear sky
191,Esso,RU,55.9333,158.7,51.94,100,100,3.74,overcast clouds
192,Blagoyevo,RU,63.3667,47.9167,73.54,45,100,3.56,overcast clouds
193,Lubango,AO,-14.9172,13.4925,75.69,21,2,5.86,clear sky
194,Howard Springs,AU,-12.497,131.047,75.11,87,55,3.42,broken clouds
195,La Crosse,US,43.8014,-91.2396,73.56,84,1,0.0,clear sky
196,Ilsede,DE,52.2667,10.2,82.17,45,13,10.78,few clouds
197,Hastings,GB,50.8552,0.5729,88.54,64,4,1.95,clear sky
198,Hualmay,PE,-11.0964,-77.6139,65.07,75,40,8.95,scattered clouds
199,Ola,RU,59.5833,151.2833,55.72,88,100,5.97,overcast clouds
200,Saint-Joseph,RE,-21.3667,55.6167,69.21,82,49,15.37,light rain
201,Campobasso,IT,41.6333,14.5833,78.82,64,100,9.13,overcast clouds
202,Zhigansk,RU,66.7697,123.3711,53.8,52,100,3.96,overcast clouds
203,Ipaba,BR,-19.4136,-42.4194,78.94,57,0,5.75,clear sky
204,Itarema,BR,-2.9248,-39.9167,87.73,54,18,13.0,few clouds
205,Pitimbu,BR,-7.4706,-34.8086,81.19,68,36,13.29,scattered clouds
206,Esperance,AU,-33.8667,121.9,55.09,80,19,11.52,few clouds
207,Vasudevanallur,IN,9.2333,77.4167,79.2,70,100,9.57,overcast clouds
208,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.8,70,19,10.36,few clouds
209,College,US,64.8569,-147.8028,62.58,74,75,4.61,haze
210,Pangnirtung,CA,66.1451,-65.7125,53.58,68,100,3.47,overcast clouds
211,Cherskiy,RU,68.75,161.3,45.73,61,100,4.65,overcast clouds
212,Mochishche,RU,55.1586,83.1229,62.02,98,100,5.46,overcast clouds
213,Marawi,PH,7.9986,124.2928,70.65,87,100,4.38,moderate rain
214,Tautira,PF,-17.7333,-149.15,71.62,77,100,24.92,moderate rain
215,Owando,CG,-0.4819,15.8999,97.29,24,16,4.29,few clouds
216,Yulara,AU,-25.2406,130.9889,48.04,61,0,4.61,clear sky
217,Topolobampo,MX,25.6,-109.05,82.11,74,92,5.77,overcast clouds
218,Dikson,RU,73.5069,80.5464,35.89,85,21,11.3,few clouds
219,Huntly,GB,57.4474,-2.7861,66.61,78,99,6.33,overcast clouds
220,Kourou,GF,5.1552,-52.6478,87.85,65,82,6.46,broken clouds
221,Malartic,CA,48.1335,-78.1328,71.71,85,33,6.46,scattered clouds
222,Komsomolskiy,UZ,40.4272,71.7189,83.12,44,100,4.61,overcast clouds
223,Kushiro,JP,42.975,144.3747,69.75,82,0,0.27,clear sky
224,Llanes,ES,43.4198,-4.7549,80.28,74,0,8.05,clear sky
225,Lhokseumawe,ID,5.1801,97.1507,80.85,78,66,0.78,broken clouds
226,Grindavik,IS,63.8424,-22.4338,49.55,87,90,8.05,overcast clouds
227,Ribeira Grande,PT,38.5167,-28.7,73.8,68,20,16.11,few clouds
228,Saquena,PE,-4.6667,-73.5167,80.04,77,57,0.85,broken clouds
229,Halifax,CA,44.6453,-63.5724,79.52,67,93,1.01,overcast clouds
230,Byron Bay,AU,-28.65,153.6167,52.72,67,94,5.14,overcast clouds
231,Meiganga,CM,6.5167,14.3,74.68,84,96,6.11,moderate rain
232,Tiarei,PF,-17.5333,-149.3333,71.62,78,100,25.19,moderate rain
233,Hami,CN,42.8,93.45,80.83,32,100,15.01,overcast clouds
234,Lebanon,US,36.2081,-86.2911,78.13,87,90,9.22,overcast clouds
235,Romanovka,RU,51.7443,42.7527,85.75,42,84,4.14,broken clouds
236,Antsohihy,MG,-14.8796,47.9875,82.13,45,65,4.56,broken clouds
237,Barrow,US,71.2906,-156.7887,48.22,93,90,12.66,overcast clouds
238,Sibolga,ID,1.7427,98.7792,76.75,77,36,2.66,scattered clouds
239,Pisco,PE,-13.7,-76.2167,62.65,82,90,4.61,overcast clouds
240,Fandriana,MG,-20.2333,47.3833,58.1,83,51,7.36,broken clouds
241,Grebanu,RO,45.3833,26.9667,90.68,31,1,10.65,clear sky
242,Bundaberg,AU,-24.85,152.35,51.22,62,0,3.44,clear sky
243,Kaspiysk,RU,42.8816,47.6392,84.24,74,20,8.99,few clouds
244,Ballina,AU,-28.8667,153.5667,52.79,69,86,4.76,overcast clouds
